bbl,street_number,street_name,first_area_type,year,year_built,gross_floor_area,eui_kbtu_sf,steam_kbtu_sf,natural_gas_kbtu_sf,electricity_kbtu_sf,total_ghg_mmco2e_sf,direct_ghg_mmco2e_sf,indirect_ghg_mmco2e_sf
1004550001,222,2 AVENUE,Medical Office,2017,1893,56756,127.6,136.7241243217,,,0.0090774544,0,0.0090774544
1004550001,222,   2 AVENUE         ,Medical Office,2016,1893,56756,333.6,133.0877810276,98.4095461273,126.0512826838,0.0245172317,0.0052276411,0.0192913525
1004550005,224,2 AVENUE,Hospital (General Medical & Surgical),2017,1969,102314,388.3,168.8664053795,164.979384053,190.2077770393,0.0376263268,0.0087632191,0.0288640851
1004550005,224,   2 AVENUE         ,Hospital (General Medical & Surgical),2016,1969,102314,333.9,167.1961188107,123.9086312724,159.4308227613,0.0309048615,0.0065816995,0.0243241394
2059330425,750,WEST 261 STREET,Residence Hall/Dormitory,2017,1924,192939,93.6,,46.6303132078,34.9547131477,0.0068721202,0.003628608,0.0032440305
2059330425,750,WEST  261 STREET    ,Residence Hall/Dormitory,2016,1924,192939,118.6,,56.9226719326,37.7267701191,0.0082673798,0.0051384116,0.0031289682
2059580010,0,,College/University,2017,1956,,80,,,,,,
3001570009,1,HOYT STREET,Residence Hall/Dormitory,2017,1925,70734,164.9,,0.0853479232,57.3024415416,0.0136370062,0.008318489,0.0053171035
3001570009,1,HOYT STREET         ,Residence Hall/Dormitory,2016,1925,70734,121,,0.1165069132,55.9869185964,0.0096983063,0.0050555603,0.0046427461
1018950016,2881,BROADWAY,Multifamily Housing,2017,1939,59131,2.6,,0.5107304121,1.8861764557,0.0002029392,2.70585648813651E-05,0.0001758807
1018950016,2881,BROADWAY            ,Multifamily Housing,2016,1939,59131,,,,,0,0,0
1018950023,2891,BROADWAY,Residence Hall/Dormitory,2017,1910,88332,145,,137.3907564642,7.6481456324,0.0080072907,0.0072974686,0.000709822
1018950023,2891,BROADWAY            ,Residence Hall/Dormitory,2016,1910,88332,,,,,0,0,0
1018950055,2901,BROADWAY,Multifamily Housing,2017,1909,178897,29.8,,0.517616282,3.1522909831,0.0023756687,0.0020833217,0.000292347
1018950055,2901,BROADWAY            ,Multifamily Housing,2016,1909,178897,,,,,0,0,0
1019620038,1201,AMSTERDAM AVENUE,Multifamily Housing,2017,1964,87271,100.8,,97.4894271866,3.3263397921,0.0054863586,0.0051781233,0.0003082353
1019620038,1201,AMSTERDAM AVENUE    ,Multifamily Housing,2016,1964,87271,,,,,0,0,0
1019620070,1211,AMSTERDAM AVENUE,Multifamily Housing,2017,1967,87979,17.2,,13.3838756976,3.9934586663,0.0010809398,0.0007103968,0.000370543
1019620070,1211,AMSTERDAM AVENUE    ,Multifamily Housing,2016,1967,87979,62.1,,1.1434546881,4.3120903852,0.0047454506,0.0043885473,0.00035804
1019620026,414,WEST 119 STREET,Multifamily Housing,2017,1910,54100,3.4,,,3.4045582255,0.0003160813,0,0.0003160813
1019620026,414,WEST  119 STREET    ,Multifamily Housing,2016,1910,54100,3.6,,,3.619116451,0.0002994455,0,0.0002994455
